mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9331763744354248,0.33625936191316874,1.2785312175750732,0.24584341514934877,True,,,sqrt,1,2,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.6483300589390962,0.6239316239316239,0.625,0.6469428007889546,0.620253164556962,0.6328915296433273,0.012149657033469213,101
2.7629019737243654,0.3898924353108967,0.5836957931518555,0.24278175449839673,True,,,sqrt,1,2,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400, 'random_state': 42}",0.64453125,0.6209850107066381,0.6182572614107884,0.6535433070866141,0.6199575371549894,0.6314548732718059,0.01466202070302347,103
1.6506247997283936,0.5500094746866392,0.9195581436157226,0.38722735422428634,True,,,sqrt,1,5,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.667953667953668,0.6234309623430963,0.6272912423625254,0.6510721247563352,0.6147368421052631,0.6368969679041776,0.019647534879081514,96
2.509303665161133,0.12325647526072912,0.7770343780517578,0.20517847209035792,True,,,sqrt,1,5,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400, 'random_state': 42}",0.6653846153846154,0.6221294363256785,0.6268041237113402,0.6455445544554456,0.6215644820295984,0.6362854423813356,0.01696754319707457,97
1.4465712070465089,0.4578519547294554,0.8008288860321044,0.08258294056273612,True,,,sqrt,2,2,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.6600790513833992,0.6111111111111112,0.6198347107438017,0.6587301587301587,0.6016949152542372,0.6302899894445415,0.02445833982501403,105
2.991660737991333,0.12835201772173224,0.5011522769927979,0.06861967576486974,True,,,sqrt,2,2,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400, 'random_state': 42}",0.6522593320235757,0.6228813559322034,0.6185567010309279,0.6506024096385542,0.6059322033898306,0.6300464004030183,0.018334717878339978,107
1.7766858100891114,0.28554842910847417,0.41358022689819335,0.39863334149577095,True,,,sqrt,2,5,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.6640471512770137,0.6085106382978723,0.6185567010309279,0.6428571428571429,0.6147368421052631,0.629741695113644,0.020735895312415955,108
2.594903993606567,0.10908085090635221,0.805526876449585,0.38069574959458485,True,,,sqrt,2,5,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400, 'random_state': 42}",0.656188605108055,0.6114649681528662,0.6157024793388429,0.6452905811623246,0.6218487394957983,0.6300990746515774,0.017515737959287868,106
1.452003574371338,0.2689052248353031,0.6569054603576661,0.21947073677387097,True,,,log2,1,2,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.6356275303643725,0.6004415011037527,0.6147368421052631,0.6454183266932271,0.591304347826087,0.6175057096185405,0.020459128908257226,119
3.020879936218262,0.14353942664940691,0.5772282600402832,0.06836181288402327,True,,,log2,1,2,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400, 'random_state': 42}",0.6412825651302605,0.5991189427312775,0.6131078224101479,0.648,0.5908096280087527,0.6184637916560878,0.022630715321091267,116
1.8629180908203125,0.19465511736311392,0.3839719772338867,0.24826985843969465,True,,,log2,1,5,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.6534653465346535,0.6111111111111112,0.6153846153846154,0.631578947368421,0.5974025974025974,0.6217885235602797,0.01922999783251558,113
2.6542230606079102,0.25691275644527156,0.5929331302642822,0.10314938588997725,True,,,log2,1,5,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400, 'random_state': 42}",0.6398390342052314,0.610752688172043,0.6195426195426196,0.640973630831643,0.6043478260869565,0.6230911597676987,0.014942668075291108,112
1.5716559410095214,0.08449910361412494,0.6201148986816406,0.25658443567919137,True,,,log2,2,2,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.6317907444668008,0.6079295154185022,0.6047516198704104,0.6462167689161554,0.5809312638580931,0.6143239825059924,0.022670820862322857,123
2.8083425521850587,0.33832382852949483,0.7462173461914062,0.3164013266988677,True,,,log2,2,2,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400, 'random_state': 42}",0.6288032454361054,0.5929203539823009,0.6051502145922747,0.6350515463917525,0.5969498910675382,0.6117750502939943,0.017034835294522297,124
1.4754358291625977,0.2880141634911136,0.3686323642730713,0.10887823510798417,True,,,log2,2,5,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.6382113821138211,0.5924276169265034,0.6206896551724138,0.6324435318275154,0.5969498910675382,0.6161444154215584,0.01846178601889453,121
2.40464563369751,0.43525579955440924,2.9745689868927,1.3412144140266289,True,,,log2,2,5,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400, 'random_state': 42}",0.6352459016393442,0.6008771929824561,0.6226012793176973,0.6311475409836066,0.5833333333333334,0.6146410496512875,0.019646914716266606,122
4.065340900421143,1.4079690610066267,4.907911205291748,0.6229520134312482,True,,,,1,2,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.6752293577981652,0.6454183266932271,0.6716141001855288,0.6543438077634011,0.6428571428571429,0.657892547059493,0.013289914451530526,80
9.919416284561157,0.8245069256264852,2.6893714427948,0.520338171525856,True,,,,1,2,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400, 'random_state': 42}",0.684981684981685,0.6533864541832669,0.6666666666666666,0.653211009174312,0.6377952755905512,0.6592082181192962,0.01580046586045116,74
7.9392101764678955,0.7676797715021831,3.2907227516174316,0.5629643003932103,True,,,,1,5,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.6886446886446886,0.6374501992031872,0.6641651031894934,0.6666666666666666,0.6390532544378699,0.6591959824283812,0.019111976145432596,75
9.327362632751464,0.4001038047074739,4.940683078765869,0.2624335136641746,True,,,,1,5,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400, 'random_state': 42}",0.680073126142596,0.644,0.6654275092936803,0.6580882352941176,0.6431372549019608,0.6581452251264709,0.01385059072851612,79
7.032850980758667,0.8465631405458497,4.4837095737457275,0.1503245051854127,True,,,,2,2,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.6790352504638218,0.6455445544554456,0.673992673992674,0.6605504587155964,0.6351084812623274,0.658846283777973,0.016615239967198214,76
10.902852821350098,0.5131730226527509,2.518663263320923,0.367141659620754,True,,,,2,2,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400, 'random_state': 42}",0.6752767527675276,0.6469428007889546,0.6654275092936803,0.663023679417122,0.6322067594433399,0.656575500342125,0.015207224281992046,84
