mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.985086536407471,0.07159955096177326,1.3959033012390136,1.2577251462324555,True,,,sqrt,1,2,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.931067044381492,0.9380530973451328,0.9265216020182908,0.9281210592686002,0.9308930261912275,0.9309311658409486,0.003951778789735068,5
6.932419204711914,0.1370651621551983,1.678987407684326,0.7042729401514065,True,,,sqrt,1,2,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400, 'random_state': 42}",0.9298521547656495,0.9377567140600316,0.9268138801261829,0.9290891900409707,0.9306868304977945,0.9308397538981259,0.003690940501818574,6
3.337399387359619,0.8456725443554356,2.725546932220459,1.2094470688729833,True,,,sqrt,1,5,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.9292230261088392,0.9378960709759189,0.9265822784810127,0.9264752287787946,0.9320265570660765,0.9304406322821285,0.004247178059118234,10
5.909239101409912,0.4843843604560974,1.8759825229644775,0.6309381056524598,True,,,sqrt,1,5,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400, 'random_state': 42}",0.9301007556675063,0.9366687777074097,0.9267214150347441,0.9281210592686002,0.9295863593305967,0.9302396734017714,0.003424796851426247,14
4.083660507202149,0.4835712710667725,2.2055209636688233,0.4618231410029594,True,,,sqrt,2,2,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.9254482541679774,0.9369654735508394,0.9239507731145472,0.9239027470792548,0.9259493670886076,0.9272433230002453,0.004927821782004101,69
5.6196270942687985,0.6146214186705967,1.3909533023834229,0.45261391401433293,True,,,sqrt,2,2,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400, 'random_state': 42}",0.9261238604212512,0.9345558014543155,0.9222011385199241,0.9255520504731861,0.9263959390862944,0.9269657579909942,0.004082705292504124,74
3.903594160079956,0.5127115808266082,1.2914834499359131,0.6187551689724308,True,,,sqrt,2,5,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.925937598487236,0.933291179260196,0.9244388239013595,0.9242424242424242,0.9278937381404174,0.9271607528063267,0.003332897870178092,70
4.9069092750549315,0.6208570614680897,2.658461093902588,0.0705983908721927,True,,,sqrt,2,5,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400, 'random_state': 42}",0.925645872715816,0.934260429835651,0.9237583043340715,0.9245818870306091,0.9269680682895984,0.9270429124411492,0.0037655059545703084,73
3.6352960109710692,0.4349290312634529,2.06195273399353,0.6015462292196183,True,,,log2,1,2,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.9290646578782172,0.9366286438529785,0.9264752287787946,0.930511686670878,0.9311104120792703,0.9307581258520278,0.003342420098480384,7
6.087773084640503,0.13644970780688653,1.3414957523345947,0.19587115699464544,True,,,log2,1,2,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400, 'random_state': 42}",0.9291091593475533,0.9385687143761875,0.92662871600253,0.9290444654683065,0.9314033983637507,0.9309508907116657,0.00409740470057103,4
3.5889665603637697,0.40088401401588974,1.635020875930786,0.6423624417939644,True,,,log2,1,5,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.93048128342246,0.9353202282815473,0.9265216020182908,0.927307206068268,0.9308493842753395,0.9300959408131811,0.0031164815041153718,17
4.473800706863403,0.1856399781912361,2.0200562477111816,0.09412055576118195,True,,,log2,1,5,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400, 'random_state': 42}",0.9292230261088392,0.9362107267534117,0.9257972844963688,0.9260429835651075,0.9295418641390205,0.9293631770125496,0.003759781450668354,28
3.9121702194213865,0.9290099411600385,1.5762621402740478,0.4341587833051097,True,,,log2,2,2,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.9228832231665093,0.9329538266919671,0.9228336495888678,0.9215189873417722,0.9270304568527918,0.9254440287283817,0.004187877121218219,92
