mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005002164840698242,0.0014495943847149155,0.002907848358154297,0.000585954849506605,0.001,,l1,liblinear,"{'C': 0.001, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
0.013840818405151367,0.0007587299985858479,0.003521728515625,0.0005498561922349002,0.001,,l1,saga,"{'C': 0.001, 'class_weight': None, 'penalty': 'l1', 'solver': 'saga'}",0.6658905704307334,0.0,0.0,0.0,0.6666666666666666,0.26651144741947996,0.32640862065971255,46
0.006397676467895508,0.0010192549955283072,0.003159236907958984,0.00025114155308008946,0.001,,l2,liblinear,"{'C': 0.001, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.7943262411347518,0.7964601769911505,0.7923211169284468,0.8231173380035026,0.8139130434782609,0.8040275833072226,0.012252053628144364,37
0.02389678955078125,0.0021840455638314684,0.003101825714111328,0.0002018233198888818,0.001,,l2,saga,"{'C': 0.001, 'class_weight': None, 'penalty': 'l2', 'solver': 'saga'}",0.7715930902111324,0.7773584905660378,0.7830882352941176,0.7804878048780488,0.7771639042357275,0.7779383050370128,0.003852774680690322,43
0.004725074768066407,0.00022702129466403075,0.003100681304931641,0.000488705315881191,0.001,balanced,l1,liblinear,"{'C': 0.001, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
0.01360621452331543,0.002201616361002585,0.0028020858764648436,0.00024379259314456027,0.001,balanced,l1,saga,"{'C': 0.001, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'saga'}",0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.26666666666666666,0.3265986323710904,45
0.005804014205932617,0.0004002278766949453,0.0025008678436279296,0.0004470774083528871,0.001,balanced,l2,liblinear,"{'C': 0.001, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.7943262411347518,0.7964601769911505,0.7923211169284468,0.8231173380035026,0.8139130434782609,0.8040275833072226,0.012252053628144364,37
0.026812219619750978,0.0008712484645101019,0.0032016754150390623,0.0004010466522574004,0.001,balanced,l2,saga,"{'C': 0.001, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}",0.7715930902111324,0.775894538606403,0.7830882352941176,0.7804878048780488,0.7771639042357275,0.7776455146450858,0.003940343361560104,44
0.0071048736572265625,0.00048988261766372,0.002901506423950195,0.00019750623873363176,0.01,,l1,liblinear,"{'C': 0.01, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.8096118299445472,0.8030018761726079,0.8371212121212122,0.8417132216014898,0.835820895522388,0.825453807072449,0.01589358905206845,1
0.04242310523986816,0.006377940760793448,0.0036033153533935546,0.0005854305092415609,0.01,,l1,saga,"{'C': 0.01, 'class_weight': None, 'penalty': 'l1', 'solver': 'saga'}",0.7736943907156673,0.7564356435643564,0.8062622309197651,0.8146718146718147,0.8070175438596491,0.7916163247462504,0.022548311605744466,41
0.007304763793945313,0.0004011893340338946,0.0031021595001220702,0.0004900624292807805,0.01,,l2,liblinear,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.7916666666666666,0.8074766355140187,0.7977941176470589,0.8327272727272728,0.8102189781021898,0.8079767341314416,0.014053973791129444,35
0.05763764381408691,0.004358890718169252,0.0030034065246582033,0.0003172774767649862,0.01,,l2,saga,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'solver': 'saga'}",0.780114722753346,0.8052930056710775,0.7874306839186691,0.8228782287822878,0.8125,0.8016433282250761,0.015796129784860582,39
0.008310317993164062,0.0007496696196000369,0.0032011032104492187,0.0006781830224391877,0.01,balanced,l1,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.8096118299445472,0.8030018761726079,0.8371212121212122,0.8417132216014898,0.835820895522388,0.825453807072449,0.01589358905206845,1
0.03892498016357422,0.006898702715287632,0.003103017807006836,0.0003751244010835039,0.01,balanced,l1,saga,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'saga'}",0.7736943907156673,0.7564356435643564,0.8062622309197651,0.8146718146718147,0.8070175438596491,0.7916163247462504,0.022548311605744466,41
0.006806135177612305,0.0004003062285124378,0.0024001598358154297,0.0004896873386314048,0.01,balanced,l2,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.7916666666666666,0.8097014925373134,0.7977941176470589,0.8327272727272728,0.8102189781021898,0.8084217055361002,0.014066311469503469,30
0.052638578414916995,0.002131192807973541,0.003001880645751953,2.1078144173908562e-06,0.01,balanced,l2,saga,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}",0.780114722753346,0.8052930056710775,0.7874306839186691,0.8228782287822878,0.8125,0.8016433282250761,0.015796129784860582,39
0.007107877731323242,0.0007985961416574482,0.0032019615173339844,0.00040018593657736385,0.1,,l1,liblinear,"{'C': 0.1, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.8,0.8164794007490637,0.8060263653483992,0.8403669724770643,0.8296296296296296,0.8185004736408313,0.014859054631020344,3
