mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.023711490631103515,0.0009279453666451923,0.0045033454895019535,0.0006331310049587538,0.001,,l1,liblinear,"{'C': 0.001, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.840924541128484,0.8394891266827753,0.858970043756311,0.8325915782266348,0.8394557823129252,0.842286214421426,0.008832047691449366,45
0.14619412422180175,0.008080261434939508,0.004200935363769531,0.000981225361633974,0.001,,l1,saga,"{'C': 0.001, 'class_weight': None, 'penalty': 'l1', 'solver': 'saga'}",0.7755252488020641,0.7649043869516311,0.7873270211216314,0.7676917376806225,0.7695167286245354,0.7729930246360969,0.007968562623320054,47
0.027720069885253905,0.0009304960108454479,0.0038031578063964845,0.0002425800304647065,0.001,,l2,liblinear,"{'C': 0.001, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.8513773222293401,0.8546567837576539,0.8565008025682183,0.8451069345430978,0.8554801163918526,0.8526243918980325,0.004132304117110048,41
0.24748411178588867,0.01616985730342575,0.0033960819244384767,0.0005894241841155961,0.001,,l2,saga,"{'C': 0.001, 'class_weight': None, 'penalty': 'l2', 'solver': 'saga'}",0.8469587965990844,0.8550580431177446,0.8528925619834711,0.8385155466399198,0.8489687292082502,0.8484787355096939,0.005737326787160907,43
0.027611160278320314,0.003058142307691304,0.0033026695251464843,0.00040030397354868846,0.001,balanced,l1,liblinear,"{'C': 0.001, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.840924541128484,0.8394891266827753,0.858970043756311,0.8325915782266348,0.8394557823129252,0.842286214421426,0.008832047691449366,45
0.15180087089538574,0.01239961469054982,0.003801250457763672,0.00024335456195686804,0.001,balanced,l1,saga,"{'C': 0.001, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'saga'}",0.7755252488020641,0.7649043869516311,0.7873270211216314,0.7676917376806225,0.7695167286245354,0.7729930246360969,0.007968562623320054,47
0.028542280197143555,0.0014957494074007305,0.004302978515625,0.0003997828441639139,0.001,balanced,l2,liblinear,"{'C': 0.001, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.8513773222293401,0.8546567837576539,0.8565008025682183,0.8451069345430978,0.8554801163918526,0.8526243918980325,0.004132304117110048,41
0.23425602912902832,0.014514195220150104,0.003599405288696289,0.000491149842102094,0.001,balanced,l2,saga,"{'C': 0.001, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}",0.8469587965990844,0.8550580431177446,0.8528925619834711,0.8385155466399198,0.8489687292082502,0.8484787355096939,0.005737326787160907,43
0.03625774383544922,0.0027245983064924546,0.0033996105194091797,0.0004906614737169989,0.01,,l1,liblinear,"{'C': 0.01, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.8658376963350786,0.8646317186463172,0.8655737704918033,0.8518148518148518,0.8624461385482267,0.8620608351672555,0.005260103996909159,37
0.42879271507263184,0.038329073447605735,0.003843832015991211,0.0004403508773677496,0.01,,l1,saga,"{'C': 0.01, 'class_weight': None, 'penalty': 'l1', 'solver': 'saga'}",0.8604193971166448,0.8618857901726428,0.857707509881423,0.8496993987975952,0.8598068598068598,0.857903791155033,0.004316406841739146,40
0.03281931877136231,0.0033893566367724265,0.00350337028503418,0.000546251199765857,0.01,,l2,liblinear,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.8642373427926475,0.8675409836065574,0.8648648648648649,0.8556395922393949,0.8675561340709405,0.8639677835148809,0.004379045687866941,33
0.5596228122711182,0.03695969463926698,0.003717994689941406,0.0004100740676279689,0.01,,l2,saga,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'solver': 'saga'}",0.8612997090203686,0.8697079094191007,0.8640522875816994,0.8556326395771391,0.8670369160405096,0.8635458923277636,0.00485960998220599,35
0.03665771484375,0.0042681047267187945,0.00360255241394043,0.0007378506355039543,0.01,balanced,l1,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.8658376963350786,0.8646317186463172,0.8655737704918033,0.8518148518148518,0.8624461385482267,0.8620608351672555,0.005260103996909159,37
0.4185150623321533,0.03550604726616235,0.003606271743774414,0.0008706223155406542,0.01,balanced,l1,saga,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'saga'}",0.8604193971166448,0.8622635247261865,0.857707509881423,0.8496993987975952,0.8598068598068598,0.8579793380657417,0.004388149133146502,39
0.034243297576904294,0.003447545776368594,0.0035064697265625,0.00078783989120027,0.01,balanced,l2,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.8642373427926475,0.8675409836065574,0.8648648648648649,0.8556395922393949,0.8675561340709405,0.8639677835148809,0.004379045687866941,33
0.5364767074584961,0.0342394527837017,0.0035111427307128905,2.9846882885253806e-05,0.01,balanced,l2,saga,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}",0.8612997090203686,0.8697079094191007,0.8640522875816994,0.8556326395771391,0.8670369160405096,0.8635458923277636,0.00485960998220599,35
