,0
Month,0.1746191605949778
TrafficType,0.16948295744308015
VisitorType,0.10396150383619449
OperatingSystems,0.07428054844300898
Browser,0.035701293844526735
Weekend,0.027877805539002154
Region,0.010077574695100167
