model,dataset,f1_score,recall,pr_auc
ANN,baseline,0.6173127080056202,0.660377358490566,0.6448760153371461
LogReg,baseline,0.5930193768565442,0.710691823899371,0.6073873702099756
RF,baseline,0.6339667040472229,0.6792452830188679,0.6664210098930297
XGB,baseline,0.638908323998148,0.7023060796645701,0.7042798773866229
