dataset,accuracy,precision,recall,f1_score,roc_auc,pr_auc,tn,fp,fn,tp
raw,0.8494972429451833,0.5093795093795094,0.740041928721174,0.6034188034188034,0.89611781230542,0.6204900354604602,2266,340,124,353
under,0.851119039896205,0.5129310344827587,0.7484276729559748,0.6086956521739131,0.8998263964307492,0.6223929998843545,2267,339,120,357
smotenc,0.8478754459941615,0.5066006600660066,0.6436058700209644,0.566943674976916,0.8544079056394612,0.5792790752851121,2307,299,170,307
